mai,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,352,YKL217W,1,1.000000002,1,1.000000012,1.000000001
 ,353,YJR016C,0,0,0,0,0
 ,354,YDL100C,1,1,1,1.000000004,1.000000003
 ,355,YOR095C,-8.36E-10,1.60E-07,8.96E-09,0,0
 ,356,YEL038W,1,1,1,1.000000006,1
 ,357,YGR185C,1,1,0.999999995,1.000000006,1.000000001
 ,358,YOR377W,1,1,0.999999999,1.000000008,0.999999986
 ,359,YPL265W,1,1,0.999999999,1.000000008,0.999999986
 ,360,YML008C,1,1,0.999999999,1.000000008,0.999999986
 ,361,YDR441C,1,1,0.999999999,1.000000008,0.999999986
 ,362,YMR296C,1,1,0.999999999,1.000000008,0.999999986
 ,363,YPL023C,1,1,0.999999999,1.000000008,0.999999986
 ,364,YER090W,0,0,0,0,0
 ,365,YGR199W,1,1,1,1.000000006,1
 ,366,YPL212C,1,1,1,1.000000006,1
 ,367,YMR145C,1,1,1,1.000000006,1
 ,368,YNL280C,0,0,0,0,0
 ,369,YDR007W,0,0,0,0,0
 ,370,YIL160C,1,1,0.999999999,1.000000006,0.9999999
 ,371,YNR072W,1,1,1,1.000000006,1.000000001
 ,372,YML022W,1,1,1,1.000000006,1.000000001
 ,373,YDR062W,0.999999997,1,1,1.000000003,1
 ,374,YPR159W,0.999999997,1,1,1.000000003,1
 ,375,YDR017C,0.999999997,1,1,1.000000003,1
 ,376,YMR303C,1,1,0.999999999,1.000000003,1
 ,377,YML123C,0.999999999,1,1,1.000000003,1
 ,378,YPR167C,1.000000004,1.000000007,1,1.000000011,0.999999999
 ,379,YER087W,1,1,1,1.000000006,1
 ,380,YHR190W,0,0,0,0,0
 ,381,YHL011C,1,1.000000001,1,1.000000006,1
 ,382,YMR313C,1.000000001,1,1,1.000000006,1
 ,383,YGR143W,1,1,1,1.000000008,1.000000096
 ,384,YHR007C,0,0,0,0,0
 ,385,YBR205W,1,1,1,1.000000006,1
 ,386,YOR163W,1,0.999999999,1,0.999999958,1
 ,387,YOR321W,1,0.999999999,1,0.999999958,1
 ,388,YBR003W,1,0.999999999,1,0.999999958,1
 ,389,YDL085W,1,0.999999999,1,0.999999958,1
 ,390,YBR183W,1,0.999999999,1,0.999999958,1
 ,391,YGL256W,1,0.999999999,1,0.999999958,1
 ,392,YGR260W,1,0.999999999,1,0.999999958,1
 ,393,YER099C,1,0.999999999,1,0.999999958,1
 ,394,YBL013W,1,0.999999999,1,0.999999958,1
 ,395,YJR048W,1,0.999999999,1,0.999999958,1
 ,396,YNL256W,1.48E-09,0,0,0,0
 ,397,YLR174W,0,0,-1.02E-09,-1.95E-09,0
 ,398,YLL028W,1,1,1,1.000000006,1.000000012
 ,399,YBR218C,1,1,1.000000004,1.000000008,1
 ,400,YHR001W-A,0.762713431,0.762713431,0.762713431,0,0
 ,401,YMR207C,1,1,1,1.000000005,0.999999931
 ,402,YGR286C,1,1.000000005,1,1.000000006,0.999999894
 ,403,YCR037C,1,1,1,1.000000006,1
 ,404,YIR031C,1,1,1,1.000000006,1
 ,405,YLR359W,1.77E-12,-8.70E-13,-9.23E-13,1.70E-06,0
 ,406,YDL205C,1,1.000000005,1,1,0.999999995
 ,407,YMR217W,0,2.60E-08,0,0,0
 ,408,YER170W,1,1,1.000000005,1.000000006,0.927567165
 ,409,YBR039W,0.822271216,0.822271228,0.822271227,0.401941708,0
 ,410,YER024W,1,1,1,1.000000006,1.000000002
 ,411,YKL004W,1,1.000000004,1,1.000000003,0.999999998
 ,412,YOR136W,1,1.000000001,1.000000001,1.000000024,1
 ,413,YNL142W,1,1,1,1.000000003,0.999999998
 ,414,YPL234C,1,1,1,1.000000003,0.999999998
 ,415,YOR209C,1,1,1,1.000000003,0.999999998
 ,416,YGL026C,0,0,0,0,0
 ,417,YHR094C,1,1,1,1.000000003,0.999999998
 ,418,Q0045,0.75718038,0.757180381,0.757180381,0,0
 ,419,YGR138C,1,1,1,1.000000006,1
 ,420,YLR258W,1,1,1,1.000000006,1
