No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
142,YPL271W,1.0, ,1.0,0.0,0.0, ,,,0,0,0
143,YLL061W,1.0, ,1.0,1.0,1.0, ,,,,,
144,YMR226C,1.0, ,1.0,1.0,1.0, ,,,,,
145,YLR237W,1.0, ,1.0,1.0,1.0, ,,,,,
146,YDR531W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
147,YIL013C,1.0, ,1.0,1.0,1.0, ,,,,,
148,YFL055W,1.0, ,1.0,1.0,1.0, ,,,,,
149,YOL136C,1.0, ,1.0,1.0,1.0, ,,,,,
150,YOR221C,1.0, ,1.0,1.0,1.0, ,,,,m,m
151,YPL214C,1.0, ,1.0,1.0,1.0, ,,,,,
152,YBR293W,1.0, ,1.0,1.0,1.0, ,,,,,
153,YGL084C,1.0, ,1.0,1.0,1.0, ,,,,,
154,YPL092W,1.0, ,1.0,1.0,1.0, ,,,,,
155,YGR019W,1.0, ,1.0,1.0,1.0, ,,,,,
156,YGL191W,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
157,YOL064C,1.0, ,1.0,1.0,1.0, ,,,,,
158,YDL142C,1.0, ,1.0,1.0,1.0, ,,,,,
159,YMR056C,1.0, ,1.0,1.0,1.0, ,,,,,
160,YJR001W,1.0, ,1.0,1.0,1.0, ,,,,,
161,YHR123W,1.0, ,1.0,1.0,1.0, ,,,,,
162,YDL174C,1.0, ,1.0,1.0,1.0, ,,,,,
163,YER091C,1.0, ,1.0,1.0,1.0, ,,,,,
164,YGR256W,1.0, ,1.0,1.0,1.0, ,,,,,
165,YLR209C,1.0, ,1.0,1.0,1.0, ,,,,,
166,YDL103C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
167,YCR098C,1.0, ,1.0,1.0,1.0, ,,,,,
168,YHL012W,1.0, ,1.0,1.0,1.0, ,,,,,
169,YML082W,1.0, ,1.0,1.0,1.0, ,,,,,
170,YDR315C,1.0, ,1.0,1.0,1.0, ,,,,,
171,YLL057C,1.0, ,1.0,1.0,1.0, ,,,,,
172,YEL039C,1.0, ,1.0,1.0,1.0, ,,,,,
173,YPL061W,1.0, ,1.0,1.0,1.0, ,,,,,
174,YGR183C,1.0, ,1.0,0.0,0.0, ,,,,,0
175,YGR255C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
176,YDR454C,-0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
177,YNL277W,1.0, ,1.0,1.0,1.0, ,,,,,
178,YER055C,1.0, ,1.0,1.0,1.0, ,,,,,
179,YHR011W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
180,YLL012W,1.0, ,1.0,1.0,1.0, ,,,,,
181,YLR438W,1.0, ,1.0,1.0,1.0, ,,,,,
182,YGR037C,0.0, ,0.0,0.0,0.0, ,,,,,
183,YJL088W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
184,YDR226W,0.0, ,0.0,0.0,0.0, ,,,,,0
185,YJR105W,1.0, ,1.0,1.0,1.0, ,,,,,
186,YGL186C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
187,YMR062C,0.0, ,0.0,0.0,0.0, ,,,,,
188,YDR234W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
189,YPL091W,1.0, ,1.0,1.0,1.0, ,,,,,
190,YLR305C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
191,YOL140W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
192,YIR029W,1.0, ,1.0,1.0,1.0, ,,,,,
193,YGR155W,1.0, ,1.0,1.0,1.0, ,0,0,0,0, 
194,YBR036C,1.0, ,1.0,1.0,1.0, ,,,,,
195,YMR300C,0.0, ,-0.0,0.0,0.0, ,0,0,0,0,0
196,YGR032W,1.0, ,1.0,1.0,1.0, ,,,,,
