 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,236,YGL202W,1,0,0,1,
 ,237,YNL141W,1,0,0.99999999,0.999999988,
 ,238,YMR318C,1,0,0,1,
 ,239,YCL018W,1,0,0,1,
 ,240,YBR294W,1,0,0,1,
 ,241,YDL067C,0.757180381,0.75718038,0,0,
 ,242,YJL130C,0.999999996,1,1,0,
 ,243,YKL060C,0.244634905,0,-6.26E-11,-1.40E-10,
 ,244,YOL020W,1,0,0,1,
 ,245,YDR135C,1,0,0,1,
 ,246,YFL011W,1,0,0,1,
 ,247,YEL021W,1,0,0,1,
 ,248,YBL030C,1,0,0,1,
 ,249,YMR256C,0.757180381,0.75718038,0,0,
 ,250,YJR159W,1,1,1,1,
 ,251,YNL270C,1,0,0,1,
 ,252,YJL071W,1,0,0,1,
 ,253,YKL182W,0,0,0,0,
 ,254,YOR303W,1,0,0,1,
 ,255,YPL275W,1,0,0,1,
 ,256,YFR025C,1,0,0,1,
 ,257,YMR013C,1,0,0,1,
 ,258,YDR322C-A,1,0,0,1,
 ,259,YER073W,1,0,0,1,
 ,260,YLR260W,1,0,0,1,
 ,261,YPL117C,-4.41E-11,-2.68E-11,-6.14E-11,-5.70E-11,
 ,262,YGR007W,1,0,0,1,
 ,263,YKL152C,1,0,0,1,
 ,264,YLR450W,1,0,0,1,
 ,265,YJR019C,1,1,0.999999999,0.999999995,
 ,266,YBL098W,0,1,0,1,
 ,267,YDL095W,1,0,0,1,
 ,268,YOR270C,1,0,0,1,
 ,269,YGL224C,1,1,0,0.999999998,
 ,270,YNL268W,1,0,0,1,
 ,271,YHR020W,1,0,0,1,
 ,272,YKR039W,1,0,0,1,
 ,273,YPL087W,0,0,0,0,
 ,274,YDL178W,0,1,0,1.000000002,
 ,275,YLL043W,0.999999999,1,0.999999999,0,
 ,276,YPL258C,1,0,0,1,
 ,277,YNR056C,1,0,0,1,
 ,278,YML086C,1,0,0,1,
 ,279,YPL097W,1,0,0,1,
 ,280,YDR268W,1,0,0,1,
 ,281,YJL216C,1,0,0,1,
 ,282,YJL221C,1,0,0,1,
 ,283,YER141W,1,0,0,1,
 ,284,YDR204W,1,1,0,0.999999999,
 ,285,YNL220W,7.95E-12,0,0,-3.33E-11,
 ,286,YMR293C,1,0,0,1,
 ,287,YDR343C,1,0,0,1,
 ,288,YGR060W,0,-7.72E-12,-1.03E-11,-9.82E-11,
 ,289,YAL038W,1,0,0,1,
 ,290,YCL064C,1,0,0,1,
 ,291,YER174C,1,0,0,1,
 ,292,YGL119W,1,1,0,0.999999999,
 ,293,YML126C,-6.97E-12,0,0,0,
 ,294,YHR044C,1,0,0,1,
 ,295,YFR019W,1,1,0,1.000000004,
 ,296,YNR019W,1,0,0,1,
 ,297,YJR152W,1,0,0,1,
 ,298,YBR199W,1,0,0,1,
 ,299,YJR109C,1,0,0,1,
 ,300,YCR048W,0.999999999,1,1,0.999999999,
 ,301,YDL182W,1,0,0,1,
 ,302,YER069W,-3.73E-11,-1.71E-11,-3.70E-11,0,
 ,303,YJR148W,0,0,0,0,
 ,304,YIL111W,1,0,0,1,
 ,305,YOL097C,1,0,0,1,
 ,306,YBR153W,0,-1.15E-11,-3.98E-11,0,
 ,307,YLR354C,1,0,0,1,
 ,308,YKR069W,1,0,0,1,
 ,309,YJR158W,1,0,0,1,
 ,310,YPR033C,1,0,0,1,
 ,311,YMR085W,1,0,0,1,
 ,312,YGL154C,0,0,0,0,
 ,313,YPR062W,0,1,1,0.999999998,
 ,314,YHR039C-A,1,0,0,1,
 ,315,YNL202W,0,1,0,0,
 ,316,YER023W,0,0,0,0,
 ,317,YBR026C,1,1,0,0.999999998,
 ,318,YCR034W,0,0,0,0,
 ,319,YER060W,1,0,0,1,
 ,320,YBR069C,1,0,0,1,
 ,321,YGR177C,1,0,0,1,
 ,322,YJR133W,1,1,0.999999997,0.999999998,
 ,323,YBR176W,1,1,1,0.999999998,
 ,324,YGL040C,1,0,0,1,
 ,325,YLR133W,1,0,0.999999999,1,
 ,326,YDL215C,1,1,0,1,
 ,327,YML004C,0,1,0.999999992,0.999999984,
 ,328,YPL057C,1,0,0,1,
 ,329,YDR058C,1,0,0,1,
 ,330,YDR315C,0,1,0.999999991,0.999999999,
 ,331,YGR255C,1,1,0,0.999999999,
 ,332,YBR161W,1,0,0,1,
 ,333,YNL169C,0.999573137,0.999573137,0.99959654,0,
 ,334,YCL069W,1,0,0,1,
 ,335,YNL104C,1,1,0.999999991,1,
 ,336,YML081C-A,0,0,0,0,
 ,337,YDL045C,1,1,1,0.999999999,
 ,338,YLR180W,1,0,0,1,
 ,339,YOR245C,1,0,0,1,
 ,340,YGR282C,1,1,0.999999995,0.999999997,
 ,341,YDL198C,1,1,0,0.999999997,
 ,342,YOR180C,1,0,0,1,
 ,343,YNR043W,-1.27E-11,-1.28E-11,0,0,
 ,344,YOR360C,1,0,0,1,
 ,345,YOR335C,1,0,0,1,
 ,346,UNKNOWN,1,0,0,1,
 ,347,YGR204W,-8.65E-12,-7.96E-12,-3.83E-11,-4.69E-11,
 ,348,YJL005W,0,1,0,1,
 ,349,YOL065C,1,0,0,1,
 ,350,YPL028W,-6.97E-12,0,0,0,
 ,351,YFL001W,1,0,0,1,
 ,352,YKL217W,1,1,0.999999999,0,
 ,353,YJR016C,1.76E-11,3.85E-12,-2.94E-11,0,
 ,354,YDL100C,1,1,0.999999994,0.999999998,
 ,355,YOR095C,-2.81E-11,-1.14E-11,-1.18E-11,0,
 ,356,YEL038W,0,1,0,1,
 ,357,YGR185C,1,0,0,1,
 ,358,YOR377W,1,0,0,1,
 ,359,YPL265W,1,0,0,1,
 ,360,YML008C,0,1,0,0.999999999,
 ,361,YDR441C,1,0,0,1,
 ,362,YMR296C,1,0,0.999999995,1.000000003,
 ,363,YPL023C,1,0,0,1,
 ,364,YER090W,-5.95E-12,0,-6.71E-11,-2.84E-10,
 ,365,YGR199W,1,0,0,1,
 ,366,YPL212C,1,0,0,1,
 ,367,YMR145C,1,0,0,1,
 ,368,YNL280C,0,-7.72E-12,-1.03E-11,-9.82E-11,
 ,369,YDR007W,0,0,0,0,
 ,370,YIL160C,0,1,0,0.999999989,
 ,371,YNR072W,1,0,0,1,
 ,372,YML022W,1,0,0,1,
 ,373,YDR062W,1,0,0.999999995,1.000000003,
 ,374,YPR159W,1,0,0,1,
 ,375,YDR017C,1,0,0.999999999,0,
 ,376,YMR303C,1,0,0.999999999,0.999999999,
 ,377,YML123C,1,0,0,1,
 ,378,YPR167C,1,1,0,1,
 ,379,YER087W,1,0,0,1,
 ,380,YHR190W,0,0,-3.16E-11,-1.63E-10,
 ,381,YHL011C,1,0,0,1,
 ,382,YMR313C,1,0,0,1,
 ,383,YGR143W,1,0,0,1,
 ,384,YHR007C,-2.58E-11,-2.01E-11,7.51E-12,-1.29E-10,
 ,385,YBR205W,1,0,0,1,
 ,386,YOR163W,1,0,0.999999999,0,
 ,387,YOR321W,1,0,0,1,
 ,388,YBR003W,1,1,0,0.999999999,
 ,389,YDL085W,1,0,0,1,
