 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,172,YDL171C,0.0,0.0,0.0,0.9999999997979997
 ,173,YML082W,0.9999999999979828,0.0,0.0,0.0
 ,174,YBR021W,0.0,0.0,0.0,0.0
 ,175,YLL057C,0.0,0.0,0.0,0.0
 ,176,YEL039C,0.0,0.0,0.0,0.0
 ,177,YPL061W,0.0,0.0,0.0,0.0
 ,178,YBR296C,0.0,0.0,0.0,0.0
 ,179,YLR308W,0.0,0.0,0.0,0.0
 ,180,YDR454C,1.6284595418919008e-10,0.0,0.0,0.0
 ,181,YNL277W,0.9999999995536042,0.0,1.000000000674841,0.0
 ,182,YER055C,0.0,0.0,0.0,0.0
 ,183,YHR011W,0.0,0.0,0.0,0.0
 ,184,YLL012W,0.0,0.0,0.0,0.0
 ,185,YLR438W,0.0,0.9994849956352079,0.0,0.999642360765815
 ,186,YJL052W,0.0,0.0,0.0,0.0
 ,187,YJL088W,0.0,0.0,0.0,0.0
 ,188,YDR226W,5.348153351200069e-13,4.425834292207129e-11,-2.4340569326832194e-10,0.0
 ,189,YJR105W,0.9997660402138066,0.0,0.0,0.0
 ,190,YGL186C,0.0,0.0,0.0,0.0
 ,191,YMR062C,0.0,0.0,0.0,2.2261502181860869e-10
 ,192,YDR234W,0.0,0.0,0.0,0.0
 ,193,YGR209C,0.0,0.0,0.0,0.0
 ,194,YLR305C,0.0,0.0,0.0,0.0
 ,195,YOL140W,0.0,0.0,0.0,2.2261502181860869e-10
 ,196,YIR029W,0.0,0.0,0.0,0.0
 ,197,YGR155W,0.999150698504992,0.0,0.99992194834872,0.9989497432331615
 ,198,YBR036C,0.0,0.0,0.0,0.0
 ,199,YMR300C,0.0,0.0,0.0,0.0
 ,200,YGR032W,0.0,0.0,0.0,0.0
 ,201,YGR267C,0.0,0.0,0.0,0.0
 ,202,YGR125W,0.0,0.0,0.0,0.0
 ,203,YNL292W,0.0,0.0,0.0,0.0
 ,204,YLR342W,0.0,0.0,0.0,0.0
 ,205,YPR006C,0.0,1.0000000000259064,0.0,0.0
 ,206,YCR028C,0.0,0.0,0.0,0.0
 ,207,YJL153C,0.0,0.0,0.0,0.0062042381300637045
 ,208,YML054C,0.0,0.0,0.0,0.0
 ,209,YAL023C,0.0,0.0,0.0,0.0
 ,210,YDL181W,0.0,0.0,0.0,0.0
 ,211,YHR074W,0.9999999999271776,0.0,0.0,0.0
 ,212,YFR030W,0.0,0.0,0.0,0.0
 ,213,YBR256C,0.0,0.0,0.0,0.0
 ,214,YPR113W,0.0,0.0,0.0,0.0
 ,215,YOR236W,0.0,0.0,0.0,6.520691222621053e-09
 ,216,YBR038W,0.0,0.0,0.0,0.0
 ,217,YBR244W,0.0,0.0,0.0,0.0
 ,218,YPL053C,0.0,0.0,0.0,0.0
 ,219,YMR246W,0.0,0.0,0.0,0.0
 ,220,YPR020W,0.0,0.0,0.0,0.0
 ,221,YKL085W,0.0,0.0,0.0,0.9999999994774476
 ,222,YLR027C,0.0,0.0,0.9922681907606329,0.0
 ,223,YBR284W,0.0,0.0,0.0,0.0
 ,224,YEL047C,0.0,0.0,0.0,0.9999999980984464
 ,225,YLR351C,0.0,0.0,0.0,0.0
